TC	svc_c1	svc_c2	svc_c3	svc_c4	svc_c5	svc_c6	svc_c7	svc_c8	svc_c9	svc_c10	svc_c11	svc_c12	svc_c13	svc_c14	svc_c15	svc_c16	svc_c17	svc_c18	svc_c19	svc_c20	svc_c21	svc_c22	svc_c23	svc_c24	svc_c25	svc_c26	svc_c27	svc_c28	svc_c29	svc_c30	svc_c31	svc_c32	svc_c33	svc_c34	svc_c35	svc_c36	svc_c37	svc_c38	svc_c39	svc_c40	svc_c41	svc_c42	svc_c43	svc_c44	svc_c45	svc_c46	svc_c47	svc_c48	svc_c49	svc_c50	svc_c51	svc_c52	svc_c53	svc_c54	svc_c55	svc_c56	svc_c57	svc_c58	svc_c59	svc_c60	svc_c61	svc_c62	svc_c63	svc_c64	svc_c65	svc_c66	svc_c67	svc_c68	svc_c69	svc_c70	svc_c71	svc_c72	soils_c1	soils_c2	soils_c3	soils_c4	soils_c5	soils_c6	soils_c7	soils_c8	soils_c9	soils_c10	soils_c11	slope_width
64	0	0	0	0	0	0.27369	0	0.07136	0.01218	0.11906	0.01692	0	0	0	0.00408	0	0.00616	0.00057	0.0011	0.00013	0	0	0	0.02331	0	0.02016	0.00374	0.02535	0	0	0.00785	0	0	0	0	0	0	0	0	0.17449	0	0.0484	0.03159	0.0686	0.01206	0	0	0	0	0	0	0.01183	0	0.00017	0	0.00017	0.00071	0	0	0	0	0	0.01245	0	0.01069	0.00461	0.01682	0	0	0.0217	0	0	0	0.49323	0.01203	0.07261	0.00785	0	0.33512	0	0.01289	0.04458	0.0217	0.03139
65	0	0	0	0	0	0.2468	0	0.07007	0.02072	0.1493	0.06301	0.13515	0	0	0.003	0	0.00869	0.01372	0.00226	0.02215	0	0	0	0.00569	0	0.00064	0.00488	0.00699	0	0	0.00223	0	0	0	0	0	0	0	0	0.07057	0	0.0351	0.00378	0.06408	0.02487	0.02398	0	0	0	0	0	0.002	0	0.00185	0.00166	0	0.00464	0	0	0	0	0	0.00638	0	9e-04	0.00172	0.00101	0	0	0.00215	0	0	0	0.68504	0.04981	0.01821	0.00223	0	0.22234	0	0.01017	0.01001	0.00215	0.03029
66	0	0	0	0	0	0.09993	0	0.01818	0.01792	0.20119	0.09219	0.25764	0	0	0	0	0	0.00436	0	0.0464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02855	0	0.01262	0.00438	0.0678	0.06043	0.07568	0	0	0	0	0	0	0	0	0	0	0.01265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68708	0.05076	0	0	0	0.24942	0	0.01265	0	0	0.02295
67	0	0	0	0	0	0.10569	0.00836	0	0	0.03801	0.0282	0	0	0	0.0538	0	0	0	0.00524	0	0	0	0	0.04371	0	0	0	0.07268	0.01195	0	0	0	0	0	0	0	0	0	0	0.25032	0.06478	0	0	0.00372	0.12341	0	0	0	0	0	0	0.08169	0.03181	0	0	0.00655	0	0	0	0	0	0	0.03862	0	0	0	0.0174	0.01397	0	0	0	0	0	0.18021	0.05904	0.12838	0	0	0.44224	0	0.12005	0.06999	0	0.03939
68	0	0	0	0	0	0.15189	0.00916	0	0	0.04371	0.13856	0	0	0	0.08399	0	0	0	0.00065	0	0	0	0	0.20859	0	0	0	0.08716	0.00901	0	0	0	0	0	0	0	0	0	0	0.1141	0.0202	0	0	8e-05	0.03103	0	0	0	0	0	0	0.02063	0.00991	0	0	0.01257	0	0	0	0	0	0	0.05478	0	0	0	0.00416	0	0	0	0	0	0	0.34329	0.08464	0.30476	0	0	0.16541	0	0.04311	0.05893	0	0.03849
69	0	0	0	0	0	0.35407	0.0025	0	0	0.0064	0.15433	0	0	0	0.03433	0	0	0	0.00079	0	0	0	0	0.15199	0	0	0	0.10311	0	0	0	0	0	0	0	0	0	0	0	0.13733	0.01107	0	0	0	0.0059	0	0	0	0	0	0	0.01094	0.00056	0	0	0.00527	0	0	0	0	0	0	0.01736	0	0	0	0.0041	0	0	0	0	0	0	0.5173	0.03512	0.25511	0	0	0.15428	0	0.01677	0.02145	0	0.03051
70	0	0	0	0	0.00444	0	0.00445	0	0.00169	0.02241	0.02234	0	0	0	0	0	0	8e-05	0	0	0	0	0.0038	0	0	0	0.01145	0.04616	0.00761	0	0	0	0	0	0	0	0	0.1212	0	0	0.12606	0	0.01404	0.11776	0.08914	0	0	0	0	0	0	0	0.00427	0	0.0037	0	0	0	0	0	0.06259	0	0	0.01076	0	0.07352	0.23319	0.01946	0	0	0	0	0	0.05537	8e-05	0.069	0	0	0.4681	0	0.00797	0.39946	0	0.03549
71	0	0	0	0	0.00128	0	0.00634	0	0.01317	0.04767	0.0115	0	0	0.00063	0	0	0	0.00872	0.0181	0	0	0	0.00531	0	0	0	0.03189	0.09051	0.02037	0	0	0	0	0	0	0	0	0.02797	0	0	0.09214	0	0.01509	0.12453	0.03802	0	0	0	0	0	0.00142	0	0.00057	0	0.00432	0.0407	0	0	0	0	0.02519	0	0	0.01554	0	0.06225	0.26196	0.03478	0	0	0	0	0	0.07996	0.02745	0.14811	0	0	0.29776	0	0.047	0.39969	0	0.03118
72	0	0	0	0	0.0042	0	0.00017	0	0.01636	0.06156	0.01182	0	0	0.00235	0	0.00041	0	0.01321	0.0821	0	0	0	0	0	0	0	0.02914	0.19227	0.01067	0	0	0	0	0	0	0	0	0.00885	0	0	0.04816	0	0.03361	0.04299	0.00248	0	0	0	0	0	0.01029	0	0.00053	0	0.02777	0.12036	0	0	0	0	0	0	0	0.02018	0	0.04877	0.19632	0.01534	0	0	0	0	0	0.09409	0.09809	0.23213	0	0	0.13609	0	0.15894	0.28065	0	0.02679
73	0	0	0	0	0	0	0.00562	0.01289	0.06216	0.10107	0.07778	0.00628	0	0	1e-04	0.00781	0.00123	0.00242	0.00499	0	0	0	0	0	0.00541	0.01076	0.01112	0.009	0	0	0	0	0	0	0	0	0	0	0	0.01765	0.06791	0.02526	0.0792	0.16296	0.20802	0.02454	0	0	0	0	0	0.00917	0.00893	0	0.00729	0.0046	0.00691	0	0	0	0	0	0.00931	0.01775	0.00706	0.01083	0.01408	0	0	0	0	0	0	0.26578	0.01655	0.03626	0	0	0.58543	0	0.03688	0.05903	0	0.03826
